,index,link,title,postdate,latitude,longitude,neighborhood,beds,baths,area,others,price,text,restaurant_count,school_count,bus_station_count,railway_station_count,distance_from_us
33,33,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-1-bedroom-1-bath/6848891486.html,Beautiful 1 bedroom 1 bath Condo in Old Town,Apr  4,41.9033,-87.6336,,1.0,1.0,,,1700.0,price: $1700.0<br>Beds: 1.0<br> Baths: 1.0,40,4,0,4,1.7330709873443655
34,34,https://chicago.craigslist.org/chc/apa/d/chicago-top-floor-studio-exposed-brick/6853349261.html,"Top floor studio w/ exposed brick, pets ok, 0.4 mi to L",Apr  4,41.924532,-87.710756,,0.0,1.0,,,1095.0,price: $1095.0<br>Beds: 0.0<br> Baths: 1.0,18,1,0,1,4.808697988977123
35,35,https://chicago.craigslist.org/chc/apa/d/chicago-duplex-in-lincoln-park-3/6850897781.html,Duplex in Lincoln Park 3 bedroom 2 bath,Apr  4,41.923532,-87.661054,,3.0,2.0,,,2600.0,price: $2600.0<br>Beds: 3.0<br> Baths: 2.0,16,4,0,4,3.2740276785899236
36,36,https://chicago.craigslist.org/chc/apa/d/chicago-section-8-welcome-2-bedroom-2/6850890763.html,Section 8 Welcome: 2 bedroom 2 bath unit in Lincoln Park,Apr  4,41.922932,-87.641553,,2.0,2.0,,,2300.0,price: $2300.0<br>Beds: 2.0<br> Baths: 2.0,24,6,0,2,3.0546871662207242
37,37,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-modern-east-lakeview/6849739471.html,***BEAUTIFUL MODERN EAST LAKEVIEW CONVERTIBLE / JR 1-BED!***,Apr  4,41.951532,-87.649755,,0.0,1.0,570.0,"['available apr 4', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage']",1925.0,price: $1925.0<br>Beds: 0.0<br> Baths: 1.0,8,7,0,2,5.052111681844463
38,38,https://chicago.craigslist.org/chc/apa/d/chicago-great-studios-milwaukee/6853303704.html,"Great studios @ Milwaukee/Diversey. Steps to L, Cats OK, Elevator",Apr  4,41.931679,-87.711294,,0.0,1.0,,,995.0,price: $995.0<br>Beds: 0.0<br> Baths: 1.0,27,2,0,2,5.1662072531246634
39,39,https://chicago.craigslist.org/chc/apa/d/chicago-stunning-lakeview-studio-june-1/6858264792.html,Stunning Lakeview Studio June 1,Apr  4,41.938232,-87.649354,,0.0,1.0,,,1235.0,price: $1235.0<br>Beds: 0.0<br> Baths: 1.0,50,5,0,3,4.136645197113894
40,40,https://chicago.craigslist.org/chc/apa/d/chicago-place-to-call-home-3-bedroom-2/6850904858.html,A place to call home: 3 bedroom 2 bath in West Ridge,Apr  4,41.997731,-87.691318,,3.0,2.0,,,2000.0,price: $2000.0<br>Beds: 3.0<br> Baths: 2.0,18,0,0,0,8.626128565122944
41,41,https://chicago.craigslist.org/chc/apa/d/chicago-spacious-3-bedroom-3-bathroom/6858264856.html,"SPACIOUS 3 BEDROOM 3 BATHROOM ** UPDATED KITCHEN, STAINLESS STEEL APPL",Apr  4,41.932232,-87.678255,,3.0,3.0,1800.0,"['available apr 4', 'cats are OK - purrr', 'apartment', 'off-street parking']",2775.0,price: $2775.0<br>Beds: 3.0<br> Baths: 3.0,0,2,0,0,4.179158770113971
42,42,https://chicago.craigslist.org/chc/apa/d/chicago-spacious-2-bed-steps-to/6847089261.html,"Spacious 2 Bed steps to Monument and L, Pets OK",Apr  4,41.927678,-87.707713,,2.0,1.0,,,1795.0,price: $1795.0<br>Beds: 2.0<br> Baths: 1.0,38,1,0,2,4.841173736032862
43,43,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-unit-in-river-north/6848899531.html,Beautiful Unit in River North,Apr  4,41.8923,-87.6373,,1.0,1.0,,,2100.0,price: $2100.0<br>Beds: 1.0<br> Baths: 1.0,50,1,0,10,0.951593160221594
44,44,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-uptown-unit-1-bedroom/6848882144.html,Beautiful Uptown Unit: 1 bedroom with parking included,Apr  4,41.973631,-87.664856,,1.0,1.0,,,1449.0,price: $1449.0<br>Beds: 1.0<br> Baths: 1.0,17,1,0,6,6.674813346055004
45,45,https://chicago.craigslist.org/chc/apa/d/chicago-top-floor-sunny-studio-in-great/6853338441.html,"Top floor sunny studio in great building, e-z walk to L",Apr  4,41.92846,-87.712376,,0.0,1.0,,,1040.0,price: $1040.0<br>Beds: 0.0<br> Baths: 1.0,32,0,0,1,5.051985207816029
46,46,https://chicago.craigslist.org/chc/apa/d/chicago-luxurious-1-bedroom-apartment/6858211031.html,"Luxurious, 1-Bedroom Apartment in Pet-Friendly Building",Apr  4,41.900532,-87.632953,,1.0,1.0,,,1734.0,price: $1734.0<br>Beds: 1.0<br> Baths: 1.0,46,5,0,4,1.5539777534509809
47,47,https://chicago.craigslist.org/chc/apa/d/chicago-1-bed-1-bath-old-town-laundry/6858265036.html,1 Bed 1 Bath: Old Town / Laundry in Unit / New Rehab / Pet Friendly,Apr  4,41.9229,-87.6483,,1.0,1.0,823.0,"['available apr 4', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'attached garage']",2289.0,price: $2289.0<br>Beds: 1.0<br> Baths: 1.0,27,8,0,2,3.0793667964517395
48,48,https://chicago.craigslist.org/chc/apa/d/chicago-superb-1-bedroom-1-bath-in/6848888786.html,Superb 1 bedroom 1 bath in Lincoln Park,Apr  4,41.921632,-87.663354,,1.0,1.0,,,1700.0,price: $1700.0<br>Beds: 1.0<br> Baths: 1.0,15,5,0,3,3.1922487912494866
49,49,https://chicago.craigslist.org/chc/apa/d/chicago-new-remodel-2-bed-in-humboldt/6850173232.html,New remodel 2 bed in Humboldt Park,Apr  4,41.909412,-87.707214,,2.0,1.0,,,1450.0,price: $1450.0<br>Beds: 2.0<br> Baths: 1.0,6,3,0,0,4.040303790766446
50,50,https://chicago.craigslist.org/chc/apa/d/chicago-awesome-1-bedroom-in-lincoln/6848878735.html,Awesome 1 bedroom in Lincoln Park available May 1st,Apr  4,41.928632,-87.642454,,1.0,0.0,,,1425.0,price: $1425.0<br>Beds: 1.0<br> Baths: 0.0,33,7,0,3,3.449342679198618
51,51,https://chicago.craigslist.org/chc/apa/d/chicago-unbelievable-gut-rehab-home/6853449999.html,UNBELIEVABLE GUT REHAB HOME - HEART OF ANDERSONVILLE,Apr  4,41.985231,-87.673256,,1.0,1.0,,,1550.0,price: $1550.0<br>Beds: 1.0<br> Baths: 1.0,6,5,0,0,7.5477355168668065
52,52,https://chicago.craigslist.org/chc/apa/d/chicago-absolutely-huge-vintage-one-bed/6847051822.html,"Absolutely huge vintage one bed, pets ok, no deposit, owners ad",Apr  4,41.925359,-87.709455,,1.0,1.0,,,1550.0,price: $1550.0<br>Beds: 1.0<br> Baths: 1.0,25,1,0,1,4.796705051983773
53,55,https://chicago.craigslist.org/chc/apa/d/chicago-amazing-north-center-3bedroom-2/6847252698.html,AMAZING North Center 3bedroom 2 bath Unit,Apr  4,41.954332,-87.676456,,3.0,2.0,,,2399.0,price: $2399.0<br>Beds: 3.0<br> Baths: 2.0,6,2,0,3,5.542591856409621
54,56,https://chicago.craigslist.org/chc/apa/d/chicago-great-city-view-of-michigan-ave/6841398289.html,Great City View of Michigan Ave from this Furnished 3 Bed | June 1st,Apr  4,41.884529,-87.624485,,3.0,2.0,,,3595.0,price: $3595.0<br>Beds: 3.0<br> Baths: 2.0,50,1,0,19,0.9071508079008936
55,57,https://chicago.craigslist.org/chc/apa/d/chicago-electronic-entry-system-plush/6853464422.html,"Electronic entry system, Plush carpeting, Dishwashers",Apr  4,41.773523,-87.568287,,0.0,1.0,400.0,['apartment'],852.0,price: $852.0<br>Beds: 0.0<br> Baths: 1.0,0,0,0,2,8.152547691813112
56,58,https://chicago.craigslist.org/chc/apa/d/chicago-4-bed-central-air-big-living-rm/6841558599.html,"4 bed, central air, big living rm, dishwasher, pets ok, owner ad",Apr  4,41.909004,-87.707214,,4.0,1.0,1500.0,"['available apr 1', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'laundry in bldg', 'off-street parking']",1895.0,price: $1895.0<br>Beds: 4.0<br> Baths: 1.0,6,3,0,0,4.025599586729591
57,59,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-1-bedroom-1-bath-unit/6841071383.html,Beautiful 1 bedroom 1 bath unit in West Rogers Park,Apr  4,42.016732,-87.690572,,1.0,1.0,,,1000.0,price: $1000.0<br>Beds: 1.0<br> Baths: 1.0,4,3,0,0,9.873913103209182
58,60,https://chicago.craigslist.org/chc/apa/d/chicago-rarely-available-studio-july-1/6845370899.html,Rarely Available Studio | July 1 | Lots of Sun,Apr  4,41.884529,-87.624485,,0.0,1.0,,,1675.0,price: $1675.0<br>Beds: 0.0<br> Baths: 1.0,50,1,0,19,0.9071508079008936
59,61,https://chicago.craigslist.org/chc/apa/d/chicago-3-bed-with-great-kitchen-close/6834361516.html,"3 bed with great kitchen, close to #72 bus and park",Apr  4,41.908986,-87.707191,,3.0,1.0,,,1595.0,price: $1595.0<br>Beds: 3.0<br> Baths: 1.0,6,3,0,0,4.023944169084365
60,62,https://chicago.craigslist.org/chc/apa/d/chicago-stunning-sun-filled-gold-coast/6848894415.html,Stunning Sun Filled Gold Coast,Apr  4,41.909532,-87.631853,,1.0,1.0,,,1800.0,price: $1800.0<br>Beds: 1.0<br> Baths: 1.0,29,5,0,2,2.1726200951130386
61,63,https://chicago.craigslist.org/chc/apa/d/chicago-basic-1-bed-ez-walk-to-cats-ok/6851052936.html,"Basic 1 bed, ez walk to L, cats ok, no deposit",Apr  4,41.928232,-87.709356,,1.0,1.0,,,1250.0,price: $1250.0<br>Beds: 1.0<br> Baths: 1.0,37,1,0,1,4.928401088701374
62,64,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-2-bedroom-2-bath-unit/6850888666.html,Beautiful 2 bedroom 2 bath unit in Lincoln Park,Apr  4,41.922932,-87.641553,,2.0,2.0,,,2300.0,price: $2300.0<br>Beds: 2.0<br> Baths: 2.0,24,6,0,2,3.0546871662207242
63,65,https://chicago.craigslist.org/chc/apa/d/chicago-amazing-views-heat-and-water/6858265597.html,AMAZING VIEWS! HEAT AND WATER INCLUDED!!,Apr  4,41.987631,-87.655556,,1.0,1.0,,,1275.0,price: $1275.0<br>Beds: 1.0<br> Baths: 1.0,5,1,0,3,7.561876954182116
64,66,https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-lakeview-unit-2/6837884746.html,Gorgeous Lakeview Unit: 2 bedroom 1 bath,Apr  4,41.938232,-87.654254,,2.0,1.0,,,2000.0,price: $2000.0<br>Beds: 2.0<br> Baths: 1.0,35,4,0,4,4.172469824676237
65,67,https://chicago.craigslist.org/chc/apa/d/chicago-spacious-new-3-bd-with-d-in/6845496538.html,"Spacious new 3 bd, with W/D in unit, all new! Dining room, too!",Apr  4,41.934231,-87.716056,,3.0,1.0,1500.0,"['available mar 20', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'street parking']",2295.0,price: $2295.0<br>Beds: 3.0<br> Baths: 1.0,12,1,0,2,5.463931951478055
66,68,https://chicago.craigslist.org/chc/apa/d/chicago-2-bedroom-condo-parking-lincoln/6845065380.html,2 Bedroom Condo w/Parking Lincoln Park,Apr  4,41.928732,-87.670855,,2.0,1.0,,,2100.0,price: $2100.0<br>Beds: 2.0<br> Baths: 1.0,4,3,0,0,3.794573347434448
67,69,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-2-bedroom-in-lincoln/6848863524.html,Beautiful 2 Bedroom in Lincoln Park,Apr  4,41.926058,-87.66758,,2.0,1.0,,,2400.0,price: $2400.0<br>Beds: 2.0<br> Baths: 1.0,15,4,0,0,3.557695534106147
68,70,https://chicago.craigslist.org/chc/apa/d/chicago-perfect-junior-1-bed-in-amazing/6839296435.html,"***PERFECT JUNIOR 1-BED IN AMAZING LOCATION! RED LINE, SHOPPING!***",Apr  4,41.907932,-87.648453,,1.0,1.0,715.0,"['available apr 4', 'cats are OK - purrr', 'dogs are OK - wooof', 'apartment', 'w/d in unit', 'no smoking', 'attached garage']",2286.0,price: $2286.0<br>Beds: 1.0<br> Baths: 1.0,15,2,0,2,2.061370226772716
69,71,https://chicago.craigslist.org/chc/apa/d/chicago-stunning-duplex-4-bedrom-2-bath/6847262436.html,Stunning Duplex: 4 bedrom 2 bath in Roscoe Village,Apr  4,41.943332,-87.678555,,4.0,2.0,,,2900.0,price: $2900.0<br>Beds: 4.0<br> Baths: 2.0,10,4,0,2,4.876256869368113
70,72,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-3-bedroom-2-bath-unit/6837892775.html,Beautiful 3 bedroom 2 bath unit in Logan Square,Apr  4,41.926331,-87.723057,,3.0,2.0,,,1495.0,price: $1495.0<br>Beds: 3.0<br> Baths: 2.0,6,4,0,1,5.376048276173618
71,73,https://chicago.craigslist.org/chc/apa/d/chicago-3-bedroom-2-bath-condo-parking/6847207381.html,3 bedroom 2 bath Condo w Parking,Apr  4,41.895932,-87.700755,,3.0,2.0,,,1900.0,price: $1900.0<br>Beds: 3.0<br> Baths: 2.0,4,1,0,1,3.327455487663113
72,74,https://chicago.craigslist.org/chc/apa/d/chicago-gorgeous-studio-in-the-heart-of/6858266069.html,Gorgeous Studio in the Heart of DePaul!,Apr  4,41.928932,-87.658854,,0.0,1.0,,,1250.0,price: $1250.0<br>Beds: 0.0<br> Baths: 1.0,17,1,0,3,3.596948686920457
73,76,https://chicago.craigslist.org/chc/apa/d/chicago-ukrainian-village-duplex-3/6847216927.html,Ukrainian Village Duplex: 3 bedroom 3baths,Apr  4,41.906632,-87.694655,,3.0,3.0,,,2900.0,price: $2900.0<br>Beds: 3.0<br> Baths: 3.0,9,3,0,0,3.3947127140663693
74,77,https://chicago.craigslist.org/chc/apa/d/chicago-stunning-andersonville-unit-3/6847273944.html,Stunning Andersonville Unit: 3 bedroom 2 bath,Apr  4,41.975431,-87.668656,,3.0,2.0,,,2900.0,price: $2900.0<br>Beds: 3.0<br> Baths: 2.0,15,1,0,5,6.8358116580440935
75,78,https://chicago.craigslist.org/chc/apa/d/chicago-renovated-studio-in-rogers-park/6858266253.html,Renovated Studio in Rogers Park w/ No Security deposit. Near Red Line!,Apr  4,42.007933,-87.668245,,0.0,1.0,,,895.0,price: $895.0<br>Beds: 0.0<br> Baths: 1.0,11,3,0,4,9.037598466543406
76,79,https://chicago.craigslist.org/chc/apa/d/chicago-stunning-uptown-duplex-4/6847269956.html,Stunning Uptown Duplex: 4 bedroom 3 bath,Apr  4,41.965532,-87.664155,,4.0,3.0,,,3200.0,price: $3200.0<br>Beds: 4.0<br> Baths: 3.0,11,3,0,6,6.119307062047887
77,81,https://chicago.craigslist.org/chc/apa/d/chicago-spacious-2-bedroom-in-lakeview/6837880878.html,Spacious 2 bedroom in Lakeview,Apr  4,41.940132,-87.649354,,2.0,1.5,,,1900.0,price: $1900.0<br>Beds: 2.0<br> Baths: 1.5,50,5,0,4,4.267023570988003
78,82,https://chicago.craigslist.org/chc/apa/d/chicago-renovated-studio-in-rogers-park/6858266408.html,Renovated Studio in Rogers Park w/ No Security Deposit - Close to Red Line!,Apr  4,42.007933,-87.668245,,0.0,1.0,,,925.0,price: $925.0<br>Beds: 0.0<br> Baths: 1.0,11,3,0,4,9.037598466543406
79,83,https://chicago.craigslist.org/chc/apa/d/chicago-luxurious-one-bed-apartment/6858266425.html,Luxurious One Bed Apartment with Amazing Views of the City,Apr  4,41.896732,-87.625652,,1.0,1.0,,,1887.0,price: $1887.0<br>Beds: 1.0<br> Baths: 1.0,50,4,0,5,1.454983079138167
80,84,https://chicago.craigslist.org/chc/apa/d/chicago-huge-2-bedroom-2-bath-unit-in/6853850619.html,Huge 2 bedroom 2 bath unit in Lincoln Square,Apr  4,41.977131,-87.679656,,2.0,2.0,,,1775.0,price: $1775.0<br>Beds: 2.0<br> Baths: 2.0,2,4,0,1,7.090510288086714
81,85,https://chicago.craigslist.org/chc/apa/d/chicago-lakefront-1brden-condo-most/6858266503.html,LakeFront 1BR+Den Condo w/ Most Util Incl-Views|Updated|Near Stores!,Apr  4,41.944058,-87.645278,,1.0,1.0,1000.0,"['available apr 4', 'condo', 'laundry in bldg', 'street parking']",1800.0,price: $1800.0<br>Beds: 1.0<br> Baths: 1.0,30,3,0,3,4.5199008684010975
82,86,https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-2-bedroom-2-bath-unit/6853848909.html,Beautiful 2 bedroom 2 bath unit in Ravenswood,Apr  4,41.9754,-87.726871,,2.0,2.0,,,1525.0,price: $1525.0<br>Beds: 2.0<br> Baths: 2.0,0,1,0,0,8.022134176089887
